timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond
1747041542.787846,2,10.0.0.2010.0.0.301,10.0.0.2,0,10.0.0.3,0,1,0,8,33,893000000,20,100,0,33,3234,1.0,3.695408734602464e-08,98.0,3.6215005599104143e-06
1747041542.787846,2,10.0.0.3010.0.0.201,10.0.0.3,0,10.0.0.2,0,1,0,0,33,876000000,20,100,0,33,3234,1.0,3.767123287671233e-08,98.0,3.6917808219178082e-06
