timestamp,datapath_id,flow_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flow_duration_nsec,idle_timeout,hard_timeout,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nsecond,byte_count_per_second,byte_count_per_nsecond,label
1747033872.89051,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,50,360000000,20,100,0,49,4802,0.98,1.361111111111111e-07,96.04,1.3338888888888888e-05,0
1747033882.892412,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,60,366000000,20,100,0,58,5684,0.9666666666666667,1.5846994535519125e-07,94.73333333333333,1.5530054644808744e-05,0
1747033882.892412,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,60,362000000,20,100,0,58,5684,0.9666666666666667,1.6022099447513812e-07,94.73333333333333,1.5701657458563537e-05,0
1747033892.896059,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,70,370000000,20,100,0,68,6664,0.9714285714285714,1.8378378378378379e-07,95.2,1.801081081081081e-05,0
1747033892.896059,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,70,366000000,20,100,0,68,6664,0.9714285714285714,1.8579234972677594e-07,95.2,1.8207650273224045e-05,0
1747033902.902819,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,80,373000000,20,100,0,78,7644,0.975,2.0911528150134047e-07,95.55,2.0493297587131368e-05,0
1747033902.902819,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,80,369000000,20,100,0,78,7644,0.975,2.1138211382113822e-07,95.55,2.0715447154471545e-05,0
1747033912.904009,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,90,376000000,20,100,0,88,8624,0.9777777777777777,2.3404255319148937e-07,95.82222222222222,2.293617021276596e-05,0
1747033912.904009,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,90,372000000,20,100,0,88,8624,0.9777777777777777,2.3655913978494625e-07,95.82222222222222,2.318279569892473e-05,0
1747033922.902849,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,0,61000000,20,100,0,1,98,0,0,0,0,0
1747033922.902849,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,0,60000000,20,100,0,0,0,0,0,0,0,0
1747033932.906378,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,10,64000000,20,100,0,10,980,1.0,1.5625e-07,98.0,1.53125e-05,0
1747033932.906378,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,10,63000000,20,100,0,9,882,0.9,1.4285714285714285e-07,88.2,1.4e-05,0
1747033942.907853,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,20,66000000,20,100,0,20,1960,1.0,3.0303030303030305e-07,98.0,2.9696969696969696e-05,0
1747033942.907853,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,20,65000000,20,100,0,19,1862,0.95,2.923076923076923e-07,93.1,2.8646153846153847e-05,0
1747033952.909133,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,30,67000000,20,100,0,30,2940,1.0,4.4776119402985074e-07,98.0,4.388059701492537e-05,0
1747033952.909133,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,30,66000000,20,100,0,29,2842,0.9666666666666667,4.3939393939393937e-07,94.73333333333333,4.306060606060606e-05,0
1747033962.910108,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,40,68000000,20,100,0,40,3920,1.0,5.88235294117647e-07,98.0,5.7647058823529413e-05,0
1747033962.910108,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,40,67000000,20,100,0,39,3822,0.975,5.82089552238806e-07,95.55,5.704477611940298e-05,0
1747033972.917358,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,50,75000000,20,100,0,49,4802,0.98,6.533333333333334e-07,96.04,6.402666666666667e-05,0
1747033972.917358,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,50,74000000,20,100,0,48,4704,0.96,6.486486486486486e-07,94.08,6.356756756756757e-05,0
1747033982.91865,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,60,76000000,20,100,0,59,5782,0.9833333333333333,7.763157894736842e-07,96.36666666666666,7.607894736842106e-05,0
1747033982.91865,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,60,75000000,20,100,0,58,5684,0.9666666666666667,7.733333333333334e-07,94.73333333333333,7.578666666666666e-05,0
1747033992.921209,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,70,78000000,20,100,0,68,6664,0.9714285714285714,8.717948717948718e-07,95.2,8.543589743589743e-05,0
1747033992.921209,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,70,78000000,20,100,0,67,6566,0.9571428571428572,8.589743589743589e-07,93.8,8.417948717948718e-05,0
1747034002.923346,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,80,81000000,20,100,0,78,7644,0.975,9.62962962962963e-07,95.55,9.437037037037037e-05,0
1747034002.923346,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,80,80000000,20,100,0,77,7546,0.9625,9.625e-07,94.325,9.4325e-05,0
1747034012.927578,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,90,85000000,20,100,0,88,8624,0.9777777777777777,1.0352941176470589e-06,95.82222222222222,0.00010145882352941177,0
1747034012.927578,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,90,84000000,20,100,0,87,8526,0.9666666666666667,1.0357142857142857e-06,94.73333333333333,0.0001015,0
1747034022.928003,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,100,86000000,20,100,0,98,9604,0.98,1.1395348837209301e-06,96.04,0.00011167441860465116,0
1747034022.928003,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,100,85000000,20,100,0,97,9506,0.97,1.1411764705882353e-06,95.06,0.00011183529411764706,0
1747034032.933299,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,9,741000000,20,100,0,10,980,1.1111111111111112,1.349527665317139e-08,108.88888888888889,1.3225371120107963e-06,0
1747034032.933299,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,9,737000000,20,100,0,9,882,1.0,1.2211668928086839e-08,98.0,1.19674355495251e-06,0
1747034042.936317,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,19,744000000,20,100,0,20,1960,1.0526315789473684,2.6881720430107527e-08,103.15789473684211,2.6344086021505374e-06,0
1747034042.936317,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,19,740000000,20,100,0,19,1862,1.0,2.5675675675675674e-08,98.0,2.5162162162162163e-06,0
1747034052.941139,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,29,749000000,20,100,0,29,2842,1.0,3.871829105473965e-08,98.0,3.794392523364486e-06,0
1747034052.941139,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,29,745000000,20,100,0,28,2744,0.9655172413793104,3.758389261744966e-08,94.62068965517241,3.6832214765100673e-06,0
1747034062.943116,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,39,751000000,20,100,0,39,3822,1.0,5.1930758988015976e-08,98.0,5.089214380825566e-06,0
1747034062.943116,2,10.0.0.2010.0.0.101,10.0.0.2,0,10.0.0.1,0,1,0,0,39,747000000,20,100,0,38,3724,0.9743589743589743,5.0870147255689424e-08,95.48717948717949,4.985274431057564e-06,0
1747034072.947007,2,10.0.0.1010.0.0.201,10.0.0.1,0,10.0.0.2,0,1,0,8,49,753000000,20,100,0,49,4802,1.0,6.507304116865869e-08,98.0,6.3771580345285525e-06,0
